split,file,lpips
train,10733.tif,0.328557
train,10734.tif,0.345128
train,10735.tif,0.292553
train,10736.tif,0.389541
train,10737.tif,0.291089
train,10738.tif,0.352712
train,10739.tif,0.287753
train,1074.tif,0.285571
train,10740.tif,0.28405
train,10741.tif,0.368174
train,10742.tif,0.404784
train,10743.tif,0.371673
train,10744.tif,0.382918
train,10745.tif,0.332461
train,10746.tif,0.253847
train,10747.tif,0.299011
train,10748.tif,0.323844
train,10749.tif,0.306697
train,1075.tif,0.40652
train,10750.tif,0.305636
train,10751.tif,0.286941
train,10752.tif,0.322587
train,10753.tif,0.329604
train,10754.tif,0.297184
train,10755.tif,0.367528
train,10756.tif,0.367841
train,10757.tif,0.353311
train,10758.tif,0.326352
train,10759.tif,0.266753
train,1076.tif,0.371724
train,10760.tif,0.364993
train,10761.tif,0.338934
train,10762.tif,0.344958
train,10763.tif,0.290387
train,10764.tif,0.366093
train,10765.tif,0.288959
train,10766.tif,0.370079
train,10767.tif,0.451757
train,10768.tif,0.302254
train,10769.tif,0.319782
train,1077.tif,0.409422
train,10770.tif,0.306724
train,10771.tif,0.317371
train,10772.tif,0.331603
train,10773.tif,0.319544
train,10774.tif,0.347543
train,10775.tif,0.318123
train,10776.tif,0.34525
train,10777.tif,0.390867
train,10778.tif,0.357793
train,10779.tif,0.3138
train,1078.tif,0.419332
train,10780.tif,0.352484
train,10781.tif,0.342578
train,10782.tif,0.304198
train,10783.tif,0.346284
train,10784.tif,0.286313
train,10785.tif,0.310143
train,10786.tif,0.405299
train,10787.tif,0.295825
train,10788.tif,0.357253
train,10789.tif,0.331564
train,1079.tif,0.394587
train,10790.tif,0.31139
train,10791.tif,0.346085
train,10792.tif,0.303838
train,10793.tif,0.324372
train,10794.tif,0.305644
train,10795.tif,0.320652
train,10796.tif,0.346678
train,10797.tif,0.331802
train,10798.tif,0.336273
train,10799.tif,0.279663
train,108.tif,0.310437
train,1080.tif,0.313636
train,10800.tif,0.307774
train,10801.tif,0.327539
train,10802.tif,0.347272
train,10803.tif,0.308559
train,10804.tif,0.308318
train,10805.tif,0.323479
train,10806.tif,0.32125
train,10807.tif,0.307604
train,10808.tif,0.380063
train,10809.tif,0.405072
train,1081.tif,0.362778
train,10810.tif,0.271927
train,10811.tif,0.345396
train,10812.tif,0.428803
train,10813.tif,0.364302
train,10814.tif,0.338839
train,10815.tif,0.345065
train,10816.tif,0.343935
train,10817.tif,0.348876
train,10818.tif,0.36977
train,10819.tif,0.360571
train,1082.tif,0.364245
train,10820.tif,0.317637
train,10821.tif,0.403689
train,10822.tif,0.307818
train,10823.tif,0.268577
train,10824.tif,0.41089
train,10825.tif,0.296481
train,10826.tif,0.24372
train,10827.tif,0.386701
train,10828.tif,0.279991
train,10829.tif,0.316711
train,1083.tif,0.400975
train,10830.tif,0.323811
train,10831.tif,0.329889
train,10832.tif,0.304392
train,10833.tif,0.359041
train,10834.tif,0.397016
train,10835.tif,0.277988
train,10836.tif,0.216032
train,10837.tif,0.310289
train,10838.tif,0.363774
train,10839.tif,0.270296
train,1084.tif,0.320153
train,10840.tif,0.287511
train,10841.tif,0.357179
train,10842.tif,0.310133
train,10843.tif,0.323149
train,10844.tif,0.355092
train,10845.tif,0.330601
train,10846.tif,0.364503
train,10847.tif,0.303257
train,10848.tif,0.335168
train,10849.tif,0.26464
train,1085.tif,0.360196
train,10850.tif,0.339104
train,10851.tif,0.31605
train,10852.tif,0.311828
train,10853.tif,0.317393
train,10854.tif,0.282501
train,10855.tif,0.333267
train,10856.tif,0.319076
train,10857.tif,0.304498
train,10858.tif,0.249412
train,10859.tif,0.331351
train,1086.tif,0.3917
train,10860.tif,0.286225
train,10861.tif,0.345606
train,10862.tif,0.32471
train,10863.tif,0.317864
train,10864.tif,0.345916
train,10865.tif,0.403562
train,10866.tif,0.27271
train,10867.tif,0.333628
train,10868.tif,0.26662
train,10869.tif,0.348666
train,1087.tif,0.33332
train,10870.tif,0.303273
train,10871.tif,0.271472
train,10872.tif,0.326081
train,10873.tif,0.331697
train,10874.tif,0.270076
train,10875.tif,0.280176
train,10876.tif,0.342296
train,10877.tif,0.350152
train,10878.tif,0.339577
train,10879.tif,0.282994
train,1088.tif,0.394102
train,10880.tif,0.363
train,10881.tif,0.30526
train,10882.tif,0.324137
train,10883.tif,0.34652
train,10884.tif,0.397263
train,10885.tif,0.369052
train,10886.tif,0.407948
train,10887.tif,0.321372
