split,file,ssim,psnr
train,1059.tif,0.503946,19.0648
train,10590.tif,0.662758,23.5008
train,10591.tif,0.601593,22.3132
train,10592.tif,0.603718,20.5808
train,10593.tif,0.463043,18.6036
train,10594.tif,0.654107,20.4405
train,10595.tif,0.554529,18.619
train,10596.tif,0.508333,18.8682
train,10597.tif,0.466506,18.7373
train,10598.tif,0.535814,19.9063
train,10599.tif,0.592754,21.6517
train,106.tif,0.629502,20.9528
train,1060.tif,0.438061,16.617
train,10600.tif,0.560926,19.8502
train,10601.tif,0.598836,20.4423
train,10602.tif,0.657731,19.3715
train,10603.tif,0.610269,21.2646
train,10604.tif,0.600462,21.5865
train,10605.tif,0.572554,17.1093
train,10606.tif,0.630066,21.4321
train,10607.tif,0.599634,18.596
train,10608.tif,0.592166,19.7428
train,10609.tif,0.560235,19.7525
train,1061.tif,0.45857,17.5453
train,10610.tif,0.553666,20.884
train,10611.tif,0.589641,20.9442
train,10612.tif,0.528154,19.1624
train,10613.tif,0.590322,20.7484
train,10614.tif,0.607175,20.743
train,10615.tif,0.610574,18.6998
train,10616.tif,0.590871,21.0103
train,10617.tif,0.767718,24.4081
train,10618.tif,0.722488,22.0097
train,10619.tif,0.523375,19.4697
train,1062.tif,0.511382,11.1431
train,10620.tif,0.618937,21.0348
train,10621.tif,0.54775,20.3486
train,10622.tif,0.582191,21.8112
train,10623.tif,0.481294,18.9321
train,10624.tif,0.52775,20.1903
train,10625.tif,0.509737,19.3262
train,10626.tif,0.612135,21.4584
train,10627.tif,0.564597,20.6922
train,10628.tif,0.617359,20.61
train,10629.tif,0.560688,19.744
train,1063.tif,0.507636,18.7726
train,10630.tif,0.587263,20.3322
train,10631.tif,0.56315,17.6127
train,10632.tif,0.631741,21.5225
train,10633.tif,0.532429,17.2843
train,10634.tif,0.700387,21.8006
train,10635.tif,0.673768,22.0578
train,10636.tif,0.65257,20.4518
train,10637.tif,0.633852,21.251
train,10638.tif,0.478277,19.103
train,10639.tif,0.694382,22.4128
train,1064.tif,0.694832,21.4795
train,10640.tif,0.584463,18.5255
train,10641.tif,0.686433,20.5994
train,10642.tif,0.528971,19.3926
train,10643.tif,0.63764,20.1989
train,10644.tif,0.547432,18.0273
train,10645.tif,0.597685,20.8515
train,10646.tif,0.480179,18.7839
train,10647.tif,0.674527,22.5571
train,10648.tif,0.54382,18.7452
train,10649.tif,0.51676,19.158
train,1065.tif,0.509145,18.5651
train,10650.tif,0.637038,21.7756
train,10651.tif,0.447506,16.8126
train,10652.tif,0.629255,21.5302
