file,ssim,psnr,lpips
1519.tif,0.518284,20.2894,0.293723
152.tif,0.495746,19.8575,0.2617
1520.tif,0.633915,21.2254,0.302045
1521.tif,0.59843,22.0351,0.309889
1522.tif,0.525437,21.0237,0.28467
1523.tif,0.54703,19.4357,0.292383
1524.tif,0.54153,20.5053,0.256576
1525.tif,0.537685,20.5439,0.290472
1526.tif,0.520281,21.2676,0.265319
1527.tif,0.499839,19.8094,0.299838
1528.tif,0.529918,21.784,0.267814
1529.tif,0.576761,20.7935,0.322325
153.tif,0.665379,23.2441,0.259088
1530.tif,0.633487,22.7293,0.267577
1531.tif,0.500596,21.9795,0.310008
1532.tif,0.544465,20.156,0.302487
1533.tif,0.625313,22.1592,0.299953
1534.tif,0.586164,22.1465,0.25563
1535.tif,0.745602,24.3264,0.281281
1536.tif,0.557972,21.7381,0.305263
1537.tif,0.482167,21.0141,0.254491
1538.tif,0.500803,19.6018,0.316684
1539.tif,0.464054,18.2197,0.289089
154.tif,0.760345,22.9981,0.252733
1540.tif,0.475512,21.6734,0.253332
1541.tif,0.527472,21.5418,0.324846
1542.tif,0.563038,21.3649,0.303475
1543.tif,0.57722,20.8787,0.276654
1544.tif,0.696855,21.7142,0.260707
1545.tif,0.632761,21.7758,0.274113
1546.tif,0.576817,19.9457,0.296419
1547.tif,0.553872,21.4689,0.258848
1548.tif,0.489673,20.3732,0.267533
1549.tif,0.620035,21.8385,0.2954
155.tif,0.637395,20.4961,0.257357
1550.tif,0.491843,21.7162,0.283726
1551.tif,0.607064,22.8636,0.253828
1552.tif,0.513819,19.5858,0.297659
1553.tif,0.517562,21.0309,0.279732
1554.tif,0.56761,21.1821,0.320254
1555.tif,0.535342,22.3938,0.275298
1556.tif,0.510832,20.8516,0.358797
1557.tif,0.566476,19.6898,0.319333
1558.tif,0.518675,20.712,0.289785
1559.tif,0.564267,19.9637,0.307872
156.tif,0.573766,20.1877,0.250397
1560.tif,0.531652,22.3547,0.276445
1561.tif,0.525719,18.8991,0.281935
1562.tif,0.543058,21.0422,0.319957
1563.tif,0.540014,21.7038,0.307622
1564.tif,0.529377,20.9977,0.306356
1565.tif,0.521609,20.4219,0.314328
1566.tif,0.520415,18.9652,0.306753
1567.tif,0.707297,21.5744,0.236492
1568.tif,0.585917,21.7071,0.299535
1569.tif,0.621934,19.8017,0.366549
157.tif,0.673807,22.2211,0.226325
1570.tif,0.577765,20.1855,0.309743
1571.tif,0.492077,21.3534,0.296092
1572.tif,0.468847,20.8322,0.239866
1573.tif,0.517057,21.8621,0.326919
1574.tif,0.462936,17.731,0.365629
1575.tif,0.538067,21.5021,0.289983
1576.tif,0.575859,20.9784,0.310083
1577.tif,0.511671,21.4827,0.276329
1578.tif,0.500089,20.0,0.255732
1579.tif,0.513884,20.3687,0.318125
158.tif,0.495941,19.6177,0.286029
1580.tif,0.500711,20.728,0.269023
1581.tif,0.605752,20.9318,0.305916
1582.tif,0.677394,24.5503,0.300936
1583.tif,0.509118,18.0419,0.287539
1584.tif,0.584046,23.3026,0.261556
1585.tif,0.495889,18.9099,0.355328
1586.tif,0.598379,21.288,0.282369
1587.tif,0.479098,20.9331,0.269068
1588.tif,0.563439,21.039,0.28377
1589.tif,0.532288,21.3805,0.286703
159.tif,0.570335,20.7787,0.245111
1590.tif,0.605539,21.4646,0.338661
1591.tif,0.558015,21.8601,0.278559
1592.tif,0.662726,20.8081,0.305281
1593.tif,0.432924,17.2841,0.338394
1594.tif,0.579952,21.1057,0.263391
1595.tif,0.487014,19.2107,0.312777
1596.tif,0.505604,19.823,0.327199
1597.tif,0.504068,21.4867,0.345596
1598.tif,0.618784,20.5815,0.282019
1599.tif,0.538196,22.2921,0.311142
16.tif,0.546743,17.833,0.293814
160.tif,0.623597,20.6308,0.33275
