split,file,ssim,psnr,lpips
train,10222.tif,0.511066,21.2568,0.310561
train,10223.tif,0.802783,23.4286,0.229127
train,10224.tif,0.745438,24.0593,0.228605
train,10225.tif,0.542049,21.6771,0.326113
train,10226.tif,0.769213,25.3288,0.287985
train,10227.tif,0.689039,25.0996,0.225279
train,10228.tif,0.55814,21.0435,0.270886
train,10229.tif,0.720228,24.349,0.223989
train,1023.tif,0.535216,21.6224,0.269364
train,10230.tif,0.569153,19.7385,0.30191
train,10231.tif,0.589463,22.0521,0.259094
train,10232.tif,0.708133,21.7796,0.292091
train,10233.tif,0.512282,21.2829,0.356172
train,10234.tif,0.632463,22.4345,0.398635
train,10235.tif,0.543499,21.8312,0.328481
train,10236.tif,0.694578,21.4399,0.25623
train,10237.tif,0.493038,19.9146,0.312563
train,10238.tif,0.683226,22.6775,0.270656
train,10239.tif,0.573242,22.7095,0.28831
train,1024.tif,0.638929,21.9866,0.313248
train,10240.tif,0.825625,26.1381,0.236403
train,10241.tif,0.55891,20.803,0.348931
train,10242.tif,0.52312,15.8695,0.354154
train,10243.tif,0.582597,22.8112,0.271002
train,10244.tif,0.527256,18.813,0.314025
train,10245.tif,0.546465,22.3806,0.289658
train,10246.tif,0.750016,23.4451,0.215799
train,10247.tif,0.528229,18.9668,0.31185
train,10248.tif,0.551287,21.7816,0.311696
train,10249.tif,0.578904,21.656,0.288088
train,1025.tif,0.821645,23.1772,0.211461
train,10250.tif,0.61757,22.0805,0.310208
train,10251.tif,0.728871,23.2556,0.279876
train,10252.tif,0.738029,23.4171,0.231983
train,10253.tif,0.616659,22.9553,0.249839
train,10254.tif,0.556473,21.3197,0.265155
train,10255.tif,0.505381,21.7902,0.27109
train,10256.tif,0.693888,24.5163,0.275845
train,10257.tif,0.454131,20.2833,0.334523
train,10258.tif,0.532429,21.894,0.297007
train,10259.tif,0.565464,22.6336,0.293845
train,1026.tif,0.554119,21.4049,0.267708
train,10260.tif,0.649167,23.9833,0.286625
train,10261.tif,0.666955,23.0307,0.280274
train,10262.tif,0.527319,19.8767,0.304025
train,10263.tif,0.575774,22.7277,0.264685
train,10264.tif,0.591454,22.9432,0.277694
train,10265.tif,0.581039,22.2451,0.342391
train,10266.tif,0.513364,20.125,0.338455
train,10267.tif,0.62445,22.5035,0.269324
train,10268.tif,0.6925,22.2807,0.255649
train,10269.tif,0.519418,19.3456,0.318077
train,1027.tif,0.587732,20.1942,0.272505
train,10270.tif,0.649579,22.6439,0.262468
train,10271.tif,0.798,24.5961,0.270997
train,10272.tif,0.662195,23.9235,0.238025
train,10273.tif,0.570367,22.1532,0.283796
train,10274.tif,0.683961,25.0014,0.232809
train,10275.tif,0.52807,21.2864,0.285189
train,10276.tif,0.478096,21.3386,0.290498
train,10277.tif,0.570939,18.8463,0.299205
train,10278.tif,0.63578,23.2004,0.296484
train,10279.tif,0.675673,23.026,0.280459
train,1028.tif,0.500856,21.2585,0.279631
train,10280.tif,0.496667,20.0246,0.333729
train,10281.tif,0.531732,21.7638,0.277589
train,10282.tif,0.558744,21.7996,0.309554
train,10283.tif,0.576512,22.4382,0.233295
train,10284.tif,0.659865,24.4988,0.259282
train,10285.tif,0.741331,23.4328,0.277256
train,10286.tif,0.668406,23.5738,0.258904
train,10287.tif,0.679444,23.4118,0.207704
train,10288.tif,0.629345,22.0833,0.249557
train,10289.tif,0.651477,22.9922,0.301585
train,1029.tif,0.567509,19.2046,0.256983
train,10290.tif,0.650487,23.58,0.265277
train,10291.tif,0.559735,21.4882,0.257802
train,10292.tif,0.494917,20.9806,0.326651
train,10293.tif,0.566103,21.4025,0.32708
train,10294.tif,0.74336,25.3657,0.240514
train,10295.tif,0.732021,24.0246,0.312705
train,10296.tif,0.549808,21.9949,0.26161
train,10297.tif,0.659962,23.9412,0.281724
train,10298.tif,0.639824,22.8579,0.337933
train,10299.tif,0.52161,20.6286,0.311176
train,103.tif,0.577029,20.1029,0.30479
train,1030.tif,0.641431,23.8702,0.256434
train,10300.tif,0.613931,22.5584,0.284615
train,10301.tif,0.476757,18.9799,0.302405
train,10302.tif,0.519889,18.4422,0.314208
train,10303.tif,0.760343,25.5446,0.287783
train,10304.tif,0.539247,18.2268,0.317332
train,10305.tif,0.64253,21.3502,0.245781
train,10306.tif,0.578115,22.5439,0.275216
train,10307.tif,0.669638,21.9784,0.343412
train,10308.tif,0.741564,24.3968,0.228045
train,10309.tif,0.710706,24.2419,0.257491
train,1031.tif,0.559393,19.9783,0.258617
train,10310.tif,0.598138,22.0399,0.247551
train,10311.tif,0.532198,21.1998,0.347989
train,10312.tif,0.707903,23.6564,0.231154
train,10313.tif,0.665332,22.3767,0.245138
train,10314.tif,0.686347,24.2597,0.236232
train,10315.tif,0.653268,24.1972,0.268599
train,10316.tif,0.582862,21.938,0.276092
train,10317.tif,0.64172,24.8297,0.390256
train,10318.tif,0.500086,19.2374,0.290589
train,10319.tif,0.504276,22.3054,0.262845
train,1032.tif,0.588987,20.8462,0.277318
train,10320.tif,0.518963,21.4029,0.292693
train,10321.tif,0.645764,22.5928,0.231472
train,10322.tif,0.707722,24.9197,0.26029
train,10323.tif,0.777371,24.4773,0.25484
train,10324.tif,0.532087,20.9912,0.280479
train,10325.tif,0.717888,22.658,0.207252
train,10326.tif,0.530523,20.4813,0.331827
train,10327.tif,0.512654,21.0623,0.30828
train,10328.tif,0.532021,20.7115,0.324174
train,10329.tif,0.590645,21.8255,0.295978
train,1033.tif,0.500501,17.49,0.308782
train,10330.tif,0.546663,20.7219,0.311374
train,10331.tif,0.514029,20.487,0.292641
train,10332.tif,0.702384,23.835,0.245851
train,10333.tif,0.577653,21.4076,0.316677
train,10334.tif,0.539768,21.2293,0.276702
train,10335.tif,0.588593,22.5729,0.255666
train,10336.tif,0.528126,21.7984,0.268569
train,10337.tif,0.631314,20.6342,0.270172
train,10338.tif,0.607657,21.0822,0.273334
train,10339.tif,0.588832,19.683,0.277827
train,1034.tif,0.675738,23.5728,0.23308
train,10340.tif,0.68398,23.6672,0.282719
train,10341.tif,0.510616,18.8341,0.308356
train,10342.tif,0.685551,24.5808,0.218539
train,10343.tif,0.578093,22.5012,0.276776
train,10344.tif,0.560685,22.8689,0.267617
train,10345.tif,0.594862,22.3817,0.298656
train,10346.tif,0.685019,23.8392,0.258585
train,10347.tif,0.689381,23.8264,0.220399
train,10348.tif,0.583671,22.2269,0.256684
train,10349.tif,0.630487,22.0066,0.262911
train,1035.tif,0.644674,20.2797,0.276175
train,10350.tif,0.693712,24.6346,0.239018
train,10351.tif,0.63009,23.3367,0.234029
train,10352.tif,0.574003,22.0436,0.255546
train,10353.tif,0.523458,21.8914,0.283208
